cell,layers,steps,reuse,evals,denoise_s,peak_footprint_mb,h3_peak_gib
L35,35,10,1,10,518.500,0,3.805
L50,50,10,1,10,753.585,0,4.024
L35mem,35,4,1,4,196.754,16384,3.729
A,35,8,1,8,370.172,16384,3.780
B,35,8,2,8,255.086,16384,3.780
D,35,10,2,10,300.581,16384,3.805
E,35,12,1,12,594.611,16384,3.831
F,35,12,2,12,376.616,16384,3.831
G,50,8,2,8,367.033,16384,3.987
I25base,50,25,2,25,1026.700,15360,2.728
HF5s,50,8,2,8,,7106,
Q480,50,8,2,8,396.397,22528,6.042
P1-640x352-124f,50,2,1,2,153.124,19456,2.459
P2-640x352-73f,50,2,1,2,98.279,8637,2.074
P3-704x384-124f,50,2,1,2,214.375,26624,2.639
P4-768x416-124f-gate,50,2,1,1,304.526,35533,2.836
control-640x352-124f,50,6,1,6,492.169,,2.531
